
Species name
Amaranth	Amaranthus cruentus
Arugula	Eruca sativa
Beet greens	Beta vulgaris vulgaris
Bok choy (白菜)	Brassica rapa (chinensis)
Borage greens	Borago officinalis
Broccolini (leaves / stalks)	Brassica oleracea
Brussels sprout	Brassica oleracea (gemmifera)
Cabbage	Brassica oleracea (capitata)
Catsear	Hypochaeris radicata
Celery	Apium graveolens
Celtuce	Lactuca sativa (asparagina)
Chaya	Cnidoscolus aconitifolius aconitifolius
Chickweed	Stellaria
Chicory	Cichorium intybus
Chinese mallow	Malva verticillata
Chrysanthemum (leaves)	Chrysanthemum coronarium
Collard greens	Brassica oleracea
Common purslane	Portulaca oleracea
Corn salad	Valerianella locusta
Cress	Lepidium sativum
Dandelion	Taraxacum officinale
Dill	Anethum graveolens
Endive	Cichorium endivia
Fat hen	Chenopodium album
Fiddlehead	Pteridium aquilinum
Athyrium esculentum
